2025-12-10T11:20:30.478Z INFO  config: Created default global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T11:20:30.478Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T11:28:34.377Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T11:28:34.378Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T11:29:58.788Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T11:29:58.788Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T13:02:39.526Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T13:02:39.527Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T14:26:39.833Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T14:26:39.833Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T16:21:25.888Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T16:21:25.888Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/opentelemetry-js
2025-12-10T23:14:19.573Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T23:14:19.574Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T23:22:34.601Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T23:22:34.602Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T23:40:16.313Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T23:40:16.313Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T23:40:45.656Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T23:40:45.656Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T23:42:55.360Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T23:42:55.360Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T23:44:44.570Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T23:44:44.571Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T23:56:28.744Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T23:56:28.744Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-10T23:59:33.247Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-10T23:59:33.247Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
