2025-12-11T00:04:18.704Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T00:04:18.704Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T00:06:01.481Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T00:06:01.481Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T00:06:46.885Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T00:06:46.885Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T00:31:15.446Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T00:31:15.446Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T00:36:38.006Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T00:36:38.007Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T00:38:35.317Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T00:38:35.318Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T00:39:14.975Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T00:39:14.976Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T01:08:34.654Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T01:08:34.655Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:03:54.633Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:03:54.633Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:04:47.464Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:04:47.464Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:05:22.134Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:05:22.134Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:17:16.049Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:17:16.049Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:21:08.422Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:21:08.422Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:24:44.777Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:24:44.778Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:26:15.796Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:26:15.796Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:29:55.247Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:29:55.247Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T09:32:47.746Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T09:32:47.746Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/box
2025-12-11T17:05:58.599Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T17:05:58.600Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/opentelemetry-js
2025-12-11T18:46:26.205Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T18:46:26.205Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/opentelemetry-js
2025-12-11T18:57:22.154Z INFO  config: Loaded global config | path=/Users/stephen.collings/.config/opencode/dcp.jsonc
2025-12-11T18:57:22.154Z DEBUG config: No project config found | searchedFrom=/Users/stephen.collings/workspace/github.com/eeveebank/opentelemetry-js
